"LinhaLogica";"Letra";"PosicaoNaLinha";"Sigla";"HostId";"SelementId";"XAtual";"YAtual"
"1";"A";"1";"ABT";"19963";"10448";"301";"51"
"1";"A";"2";"ACL";"12201";"671";"501";"51"
"1";"A";"3";"ANA";"12200";"672";"701";"51"
"1";"A";"4";"ARE";"12199";"673";"901";"51"
"1";"A";"5";"ASS";"16890";"6941";"1101";"51"
"1";"A";"6";"ATL2";"12198";"674";"1301";"51"
"2";"B";"1";"BIG";"12197";"675";"1501";"51"
"2";"B";"2";"BLU";"12196";"676";"1701";"51"
"3";"C";"1";"CAM3";"12195";"677";"101";"151"
"3";"C";"2";"CAN";"12194";"678";"301";"151"
"3";"C";"3";"CAX";"12191";"681";"501";"151"
"3";"C";"4";"CAX5";"12193";"679";"701";"151"
"3";"C";"5";"CAX6";"12192";"680";"901";"151"
"3";"C";"6";"CBA";"12190";"682";"1101";"151"
"3";"C";"7";"CCH";"12189";"683";"1301";"151"
"3";"C";"8";"CGR";"12188";"684";"1501";"151"
"3";"C";"9";"CMO";"12187";"685";"1701";"151"
"3";"C";"10";"CNG2";"19964";"10449";"101";"251"
"3";"C";"11";"CNO";"12185";"687";"301";"251"
"3";"C";"12";"CTA";"19965";"10450";"501";"251"
"3";"C";"13";"CVO";"19966";"10451";"701";"251"
"4";"D";"1";"DOU";"12182";"688";"901";"251"
"4";"D";"2";"DOU_MAR";"12184";"689";"1101";"251"
"4";"D";"3";"DOU_RBT";"12183";"690";"1301";"251"
"5";"F";"1";"FCO";"12181";"691";"1701";"251"
"6";"G";"1";"GAS2-525";"19967";"10452";"101";"351"
"6";"G";"2";"GRA";"12179";"693";"301";"351"
"6";"G";"3";"GRA3";"12180";"692";"501";"351"
"6";"G";"4";"GRT";"12178";"694";"701";"351"
"6";"G";"5";"GUA";"12177";"695";"901";"351"
"6";"G";"6";"GUO";"12176";"696";"1101";"351"
"7";"I";"1";"IJU2";"12175";"697";"1301";"351"
"7";"I";"2";"IRN";"12174";"698";"1501";"351"
"7";"I";"3";"ITJ";"12173";"699";"1701";"351"
"7";"I";"4";"ITR";"16891";"6942";"101";"451"
"7";"I";"5";"IVP";"12172";"700";"301";"451"
"8";"J";"1";"JAS";"16834";"6725";"501";"451"
"8";"J";"2";"JLB";"15998";"4644";"701";"451"
"8";"J";"3";"JNO";"12171";"701";"901";"451"
"8";"J";"4";"JOI";"12170";"702";"1101";"451"
"8";"J";"5";"JSU";"19968";"10453";"1301";"451"
"9";"L";"1";"LAR";"12169";"703";"1501";"451"
"9";"L";"2";"LGR";"12168";"704";"1701";"451"
"9";"L";"3";"LIV3";"19969";"10454";"101";"551"
"9";"L";"4";"LNS";"12167";"705";"301";"551"
"9";"L";"5";"LON";"12166";"706";"701";"551"
"10";"M";"1";"MCH";"12165";"707";"901";"551"
"10";"M";"2";"MCL";"12164";"708";"1101";"551"
"10";"M";"3";"MIM";"12163";"709";"1301";"551"
"10";"M";"4";"MIS";"12162";"710";"1501";"551"
"10";"M";"5";"MRO2";"12161";"711";"1701";"551"
"11";"N";"1";"NPE2";"12160";"712";"101";"651"
"11";"N";"2";"NSR";"12159";"713";"301";"651"
"12";"O";"1";"OSO2";"12158";"714";"501";"651"
"13";"P";"1";"PAL";"12157";"715";"701";"651"
"13";"P";"2";"PFU";"12155";"717";"901";"651"
"13";"P";"3";"PGR";"12154";"718";"1101";"651"
"13";"P";"4";"PIN2";"12153";"719";"1301";"651"
"13";"P";"5";"PNO";"12202";"720";"1501";"651"
"14";"Q";"1";"QUI";"19970";"10455";"1701";"651"
"15";"S";"1";"SDI";"12203";"721";"101";"751"
"15";"S";"2";"SID";"19971";"10456";"301";"751"
"15";"S";"3";"SMA3";"19972";"10457";"501";"751"
"15";"S";"4";"SOS";"12204";"722";"701";"751"
"15";"S";"5";"SPA2";"12205";"723";"901";"751"
"15";"S";"6";"SSA";"12206";"724";"1101";"751"
"15";"S";"7";"STA";"12207";"725";"1301";"751"
"16";"T";"1";"TPR2";"12208";"726";"1501";"751"
"17";"U";"1";"UHBC";"12209";"727";"1701";"751"
"17";"U";"2";"UHJB";"12210";"728";"101";"851"
"17";"U";"3";"UHPJ";"12211";"729";"301";"851"
"17";"U";"4";"UHSD";"12212";"730";"501";"851"
"18";"V";"1";"VMT";"12213";"731";"701";"851"
"19";"X";"1";"XAN";"12214";"732";"901";"851"
"20";"Y";"1";"YTA";"12215";"733";"1101";"851"
