"LinhaLogica";"PosicaoNaLinha";"Letra";"Sigla";"HostId";"SelementId";"XAtual";"YAtual";"XNovo";"YNovo"
"1";"1";"A";"ABT";"19963";"10448";"301";"51";"101";"51"
"1";"2";"A";"ACL";"12201";"671";"501";"51";"301";"51"
"1";"3";"A";"ANA";"12200";"672";"701";"51";"501";"51"
"1";"4";"A";"ARE";"12199";"673";"901";"51";"701";"51"
"1";"5";"A";"ASS";"16890";"6941";"1101";"51";"901";"51"
"1";"6";"A";"ATL2";"12198";"674";"1301";"51";"1101";"51"
"2";"1";"B";"BIG";"12197";"675";"1501";"51";"101";"151"
"2";"2";"B";"BLU";"12196";"676";"1701";"51";"301";"151"
"3";"1";"C";"CAM3";"12195";"677";"101";"151";"101";"251"
"3";"2";"C";"CAN";"12194";"678";"301";"151";"301";"251"
"3";"3";"C";"CAX";"12191";"681";"501";"151";"501";"251"
"3";"4";"C";"CAX5";"12193";"679";"701";"151";"701";"251"
"3";"5";"C";"CAX6";"12192";"680";"901";"151";"901";"251"
"3";"6";"C";"CBA";"12190";"682";"1101";"151";"1101";"251"
"3";"7";"C";"CCH";"12189";"683";"1301";"151";"1301";"251"
"3";"8";"C";"CGR";"12188";"684";"1501";"151";"1501";"251"
"3";"9";"C";"CMO";"12187";"685";"1701";"151";"1701";"251"
"3";"10";"C";"CNG2";"19964";"10449";"101";"251";"1901";"251"
"3";"11";"C";"CNO";"12185";"687";"301";"251";"2101";"251"
"3";"12";"C";"CTA";"19965";"10450";"501";"251";"2301";"251"
"3";"13";"C";"CVO";"19966";"10451";"701";"251";"2501";"251"
"4";"1";"D";"DOU";"12182";"688";"901";"251";"101";"351"
"4";"2";"D";"DOU_MAR";"12184";"689";"1101";"251";"301";"351"
"4";"3";"D";"DOU_RBT";"12183";"690";"1301";"251";"501";"351"
"5";"1";"F";"FCO";"12181";"691";"1701";"251";"101";"451"
"6";"1";"G";"GAS2-525";"19967";"10452";"101";"351";"101";"551"
"6";"2";"G";"GRA";"12179";"693";"301";"351";"301";"551"
"6";"3";"G";"GRA3";"12180";"692";"501";"351";"501";"551"
"6";"4";"G";"GRT";"12178";"694";"701";"351";"701";"551"
"6";"5";"G";"GUA";"12177";"695";"901";"351";"901";"551"
"6";"6";"G";"GUO";"12176";"696";"1101";"351";"1101";"551"
"7";"1";"I";"IJU2";"12175";"697";"1301";"351";"101";"651"
"7";"2";"I";"IRN";"12174";"698";"1501";"351";"301";"651"
"7";"3";"I";"ITJ";"12173";"699";"1701";"351";"501";"651"
"7";"4";"I";"ITR";"16891";"6942";"101";"451";"701";"651"
"7";"5";"I";"IVP";"12172";"700";"301";"451";"901";"651"
"8";"1";"J";"JAS";"16834";"6725";"501";"451";"101";"751"
"8";"2";"J";"JLB";"15998";"4644";"701";"451";"301";"751"
"8";"3";"J";"JNO";"12171";"701";"901";"451";"501";"751"
"8";"4";"J";"JOI";"12170";"702";"1101";"451";"701";"751"
"8";"5";"J";"JSU";"19968";"10453";"1301";"451";"901";"751"
"9";"1";"L";"LAR";"12169";"703";"1501";"451";"101";"851"
"9";"2";"L";"LGR";"12168";"704";"1701";"451";"301";"851"
"9";"3";"L";"LIV3";"19969";"10454";"101";"551";"501";"851"
"9";"4";"L";"LNS";"12167";"705";"301";"551";"701";"851"
"9";"5";"L";"LON";"12166";"706";"701";"551";"901";"851"
"10";"1";"M";"MCH";"12165";"707";"901";"551";"101";"951"
"10";"2";"M";"MCL";"12164";"708";"1101";"551";"301";"951"
"10";"3";"M";"MIM";"12163";"709";"1301";"551";"501";"951"
"10";"4";"M";"MIS";"12162";"710";"1501";"551";"701";"951"
"10";"5";"M";"MRO2";"12161";"711";"1701";"551";"901";"951"
"11";"1";"N";"NPE2";"12160";"712";"101";"651";"101";"1051"
"11";"2";"N";"NSR";"12159";"713";"301";"651";"301";"1051"
"12";"1";"O";"OSO2";"12158";"714";"501";"651";"101";"1151"
"13";"1";"P";"PAL";"12157";"715";"701";"651";"101";"1251"
"13";"2";"P";"PFU";"12155";"717";"901";"651";"301";"1251"
"13";"3";"P";"PGR";"12154";"718";"1101";"651";"501";"1251"
"13";"4";"P";"PIN2";"12153";"719";"1301";"651";"701";"1251"
"13";"5";"P";"PNO";"12202";"720";"1501";"651";"901";"1251"
"14";"1";"Q";"QUI";"19970";"10455";"1701";"651";"101";"1351"
"15";"1";"S";"SDI";"12203";"721";"101";"751";"101";"1451"
"15";"2";"S";"SID";"19971";"10456";"301";"751";"301";"1451"
"15";"3";"S";"SMA3";"19972";"10457";"501";"751";"501";"1451"
"15";"4";"S";"SOS";"12204";"722";"701";"751";"701";"1451"
"15";"5";"S";"SPA2";"12205";"723";"901";"751";"901";"1451"
"15";"6";"S";"SSA";"12206";"724";"1101";"751";"1101";"1451"
"15";"7";"S";"STA";"12207";"725";"1301";"751";"1301";"1451"
"16";"1";"T";"TPR2";"12208";"726";"1501";"751";"101";"1551"
"17";"1";"U";"UHBC";"12209";"727";"1701";"751";"101";"1651"
"17";"2";"U";"UHJB";"12210";"728";"101";"851";"301";"1651"
"17";"3";"U";"UHPJ";"12211";"729";"301";"851";"501";"1651"
"17";"4";"U";"UHSD";"12212";"730";"501";"851";"701";"1651"
"18";"1";"V";"VMT";"12213";"731";"701";"851";"101";"1751"
"19";"1";"X";"XAN";"12214";"732";"901";"851";"101";"1851"
"20";"1";"Y";"YTA";"12215";"733";"1101";"851";"101";"1951"
