"Letra";"Sigla";"HostId";"SelementId";"XAtual";"YAtual"
"A";"ABT";"19963";"10448";"301";"51"
"A";"ACL";"12201";"671";"501";"51"
"A";"ANA";"12200";"672";"701";"51"
"A";"ARE";"12199";"673";"901";"51"
"A";"ASS";"16890";"6941";"1101";"51"
"A";"ATL2";"12198";"674";"1301";"51"
"B";"BIG";"12197";"675";"1501";"51"
"B";"BLU";"12196";"676";"1701";"51"
"C";"CAM3";"12195";"677";"101";"151"
"C";"CAN";"12194";"678";"301";"151"
"C";"CAX";"12191";"681";"501";"151"
"C";"CAX5";"12193";"679";"701";"151"
"C";"CAX6";"12192";"680";"901";"151"
"C";"CBA";"12190";"682";"1101";"151"
"C";"CCH";"12189";"683";"1301";"151"
"C";"CGR";"12188";"684";"1501";"151"
"C";"CMO";"12187";"685";"1701";"151"
"C";"CNG2";"19964";"10449";"101";"251"
"C";"CNO";"12185";"687";"301";"251"
"C";"CTA";"19965";"10450";"501";"251"
"C";"CVO";"19966";"10451";"701";"251"
"D";"DOU";"12182";"688";"901";"251"
"D";"DOU_MAR";"12184";"689";"1101";"251"
"D";"DOU_RBT";"12183";"690";"1301";"251"
"F";"FCO";"12181";"691";"1701";"251"
"G";"GAS2-525";"19967";"10452";"101";"351"
"G";"GRA";"12179";"693";"301";"351"
"G";"GRA3";"12180";"692";"501";"351"
"G";"GRT";"12178";"694";"701";"351"
"G";"GUA";"12177";"695";"901";"351"
"G";"GUO";"12176";"696";"1101";"351"
"I";"IJU2";"12175";"697";"1301";"351"
"I";"IRN";"12174";"698";"1501";"351"
"I";"ITJ";"12173";"699";"1701";"351"
"I";"ITR";"16891";"6942";"101";"451"
"I";"IVP";"12172";"700";"301";"451"
"J";"JAS";"16834";"6725";"501";"451"
"J";"JLB";"15998";"4644";"701";"451"
"J";"JNO";"12171";"701";"901";"451"
"J";"JOI";"12170";"702";"1101";"451"
"J";"JSU";"19968";"10453";"1301";"451"
"L";"LAR";"12169";"703";"1501";"451"
"L";"LGR";"12168";"704";"1701";"451"
"L";"LIV3";"19969";"10454";"101";"551"
"L";"LNS";"12167";"705";"301";"551"
"L";"LON";"12166";"706";"701";"551"
"M";"MCH";"12165";"707";"901";"551"
"M";"MCL";"12164";"708";"1101";"551"
"M";"MIM";"12163";"709";"1301";"551"
"M";"MIS";"12162";"710";"1501";"551"
"M";"MRO2";"12161";"711";"1701";"551"
"N";"NPE2";"12160";"712";"101";"651"
"N";"NSR";"12159";"713";"301";"651"
"O";"OSO2";"12158";"714";"501";"651"
"P";"PAL";"12157";"715";"701";"651"
"P";"PFU";"12155";"717";"901";"651"
"P";"PGR";"12154";"718";"1101";"651"
"P";"PIN2";"12153";"719";"1301";"651"
"P";"PNO";"12202";"720";"1501";"651"
"Q";"QUI";"19970";"10455";"1701";"651"
"S";"SDI";"12203";"721";"101";"751"
"S";"SID";"19971";"10456";"301";"751"
"S";"SMA3";"19972";"10457";"501";"751"
"S";"SOS";"12204";"722";"701";"751"
"S";"SPA2";"12205";"723";"901";"751"
"S";"SSA";"12206";"724";"1101";"751"
"S";"STA";"12207";"725";"1301";"751"
"T";"TPR2";"12208";"726";"1501";"751"
"U";"UHBC";"12209";"727";"1701";"751"
"U";"UHJB";"12210";"728";"101";"851"
"U";"UHPJ";"12211";"729";"301";"851"
"U";"UHSD";"12212";"730";"501";"851"
"V";"VMT";"12213";"731";"701";"851"
"X";"XAN";"12214";"732";"901";"851"
"Y";"YTA";"12215";"733";"1101";"851"
