"OrdemFisica";"Sigla";"Letra";"NomeVisivel";"NomeTecnico";"HostId";"SelementId";"XAntes";"YAntes";"XDepois";"YDepois";"OcupanteAtualDoSlot";"AlterarPosicao"
"1";"ABT";"A";"TEL-GTW-VHF_ABT_ControlOne";"TEL-GTW-VHF_ABT_ControlOne";"19963";"10448";"301";"51";"301";"51";"ABT";"False"
"2";"ACL";"A";"TEL-GTW-VHF_ACL_ControlOne";"TEL-GTW-VHF_ACL_ControlOne";"12201";"671";"501";"51";"501";"51";"ACL";"False"
"3";"ANA";"A";"TEL-GTW-VHF_ANA_ControlOne";"TEL-GTW-VHF_ANA_ControlOne";"12200";"672";"701";"51";"701";"51";"ANA";"False"
"4";"ARE";"A";"TEL-GTW-VHF_ARE_ControlOne";"TEL-GTW-VHF_ARE_ControlOne";"12199";"673";"901";"51";"901";"51";"ARE";"False"
"5";"ASS";"A";"TEL-GTW-VHF_ASS_ControlOne";"TEL-GTW-VHF_ASS_ControlOne";"16890";"6941";"1101";"51";"1101";"51";"ASS";"False"
"6";"ATL2";"A";"TEL-GTW-VHF_ATL2_ControlOne";"TEL-GTW-VHF_ATL2_ControlOne";"12198";"674";"1301";"51";"1301";"51";"ATL2";"False"
"7";"BIG";"B";"TEL-GTW-VHF_BIG_ControlOne";"TEL-GTW-VHF_BIG_ControlOne";"12197";"675";"1501";"51";"1501";"51";"BIG";"False"
"8";"BLU";"B";"TEL-GTW-VHF_BLU_ControlOne";"TEL-GTW-VHF_BLU_ControlOne";"12196";"676";"1701";"51";"1701";"51";"BLU";"False"
"9";"CAM3";"C";"TEL-GTW-VHF_CAM3_ControlOne";"TEL-GTW-VHF_CAM3_ControlOne";"12195";"677";"101";"151";"101";"151";"CAM3";"False"
"10";"CAN";"C";"TEL-GTW-VHF_CAN_ControlOne";"TEL-GTW-VHF_CAN_ControlOne";"12194";"678";"301";"151";"301";"151";"CAN";"False"
"11";"CAX";"C";"TEL-GTW-VHF_CAX_ControlOne";"TEL-GTW-VHF_CAX_ControlOne";"12191";"681";"501";"151";"501";"151";"CAX";"False"
"12";"CAX5";"C";"TEL-GTW-VHF_CAX5_ControlOne";"TEL-GTW-VHF_CAX5_ControlOne";"12193";"679";"701";"151";"701";"151";"CAX5";"False"
"13";"CAX6";"C";"TEL-GTW-VHF_CAX6_ControlOne";"TEL-GTW-VHF_CAX6_ControlOne";"12192";"680";"901";"151";"901";"151";"CAX6";"False"
"14";"CBA";"C";"TEL-GTW-VHF_CBA_ControlOne";"TEL-GTW-VHF_CBA_ControlOne";"12190";"682";"1101";"151";"1101";"151";"CBA";"False"
"15";"CCH";"C";"TEL-GTW-VHF_CCH_ControlOne";"TEL-GTW-VHF_CCH_ControlOne";"12189";"683";"1301";"151";"1301";"151";"CCH";"False"
"16";"CGR";"C";"TEL-GTW-VHF_CGR_ControlOne";"TEL-GTW-VHF_CGR_ControlOne";"12188";"684";"1501";"151";"1501";"151";"CGR";"False"
"17";"CMO";"C";"TEL-GTW-VHF_CMO_ControlOne";"TEL-GTW-VHF_CMO_ControlOne";"12187";"685";"1701";"151";"1701";"151";"CMO";"False"
"18";"CNG2";"C";"TEL-GTW-VHF_CNG2_ControlOne";"TEL-GTW-VHF_CNG2_ControlOne";"19964";"10449";"101";"251";"101";"251";"CNG2";"False"
"19";"CNO";"C";"TEL-GTW-VHF_CNO_ControlOne";"TEL-GTW-VHF_CNO_ControlOne";"12185";"687";"301";"251";"301";"251";"CNO";"False"
"20";"CTA";"C";"TEL-GTW-VHF_CTA_ControlOne";"TEL-GTW-VHF_CTA_ControlOne";"19965";"10450";"501";"251";"501";"251";"CTA";"False"
"21";"CVO";"C";"TEL-GTW-VHF_CVO_ControlOne";"TEL-GTW-VHF_CVO_ControlOne";"19966";"10451";"701";"251";"701";"251";"CVO";"False"
"22";"DOU";"D";"TEL-GTW-VHF_DOU_ControlOne";"TEL-GTW-VHF_DOU_ControlOne";"12182";"688";"901";"251";"901";"251";"DOU";"False"
"23";"DOU_MAR";"D";"TEL-GTW-VHF_DOU_MAR_ControlOne";"TEL-GTW-VHF_DOU_MAR_ControlOne";"12184";"689";"1101";"251";"1101";"251";"DOU_MAR";"False"
"24";"DOU_RBT";"D";"TEL-GTW-VHF_DOU_RBT_ControlOne";"TEL-GTW-VHF_DOU_RBT_ControlOne";"12183";"690";"1301";"251";"1301";"251";"DOU_RBT";"False"
