"hostid";"host";"name"
"12267";"15600-01";"15600-01"
"12268";"15600-02";"15600-02"
"14383";"ABT_HL1";"ABT_HL1"
"14384";"ABT_HL2";"ABT_HL2"
"13851";"ABT_HOTLINES";"ABT_HOTLINES"
"15539";"ABT_HOTLINES_eth1";"ABT_HOTLINES_eth1"
"15540";"ABT_HOTLINES_eth2";"ABT_HOTLINES_eth2"
"13788";"ABT_PRI";"ABT_PRI"
"13922";"ABT_SEC";"ABT_SEC"
"17297";"ABT-5A1CD1";"ABT-5A1CD1"
"17298";"ABT-5A1CD2";"ABT-5A1CD2"
"17299";"ABT-5A1CP1";"ABT-5A1CP1"
"17300";"ABT-5A1CP2";"ABT-5A1CP2"
"17295";"ABT-5A1PP1";"ABT-5A1PP1"
"17290";"ABT-5A4CD1";"ABT-5A4CD1"
"17291";"ABT-5A4CD2";"ABT-5A4CD2"
"17292";"ABT-5A4CP1";"ABT-5A4CP1"
"17293";"ABT-5A4CP2";"ABT-5A4CP2"
"17288";"ABT-5A4PP1";"ABT-5A4PP1"
"17294";"ABT-5LA1PA1";"ABT-5LA1PA1"
"17296";"ABT-5LA1PP1";"ABT-5LA1PP1"
"17287";"ABT-5LA4PA1";"ABT-5LA4PA1"
"17289";"ABT-5LA4PP1";"ABT-5LA4PP1"
"17301";"ABT-5SACP1";"ABT-5SACP1"
"16522";"ABT-DM705-01";"ABT-DM705-01"
"16523";"ABT-DM705-02";"ABT-DM705-02"
"16438";"ABT-DM880-01";"ABT-DM880-01"
"16439";"ABT-DM880-02";"ABT-DM880-02"
"14539";"ABTRDP_525_1";"ABTRDP_525_1"
"16937";"abt-sw1";"abt-sw1"
"16938";"abt-sw2";"abt-sw2"
"16939";"abt-sw3";"abt-sw3"
"16940";"abt-sw4";"abt-sw4"
"13987";"ABT-UCS1";"ABT-UCS1"
"16209";"ABT-UCS1-alta";"ABT-UCS1-alta"
"16210";"ABT-UCS2";"ABT-UCS2"
"13988";"ABT-UCS2-baixa";"ABT-UCS2-baixa"
"17302";"ACL-1L1PA1";"ACL-1L1PA1"
"17303";"ACL-1L1PP1";"ACL-1L1PP1"
"16004";"ANA_HL_RGR";"ANA_HL_RGR"
"14386";"ANA_HL1";"ANA_HL1"
"13852";"ANA_HOTLINES";"ANA_HOTLINES"
"16005";"ANA_HOTLINES_eth1_rgr";"ANA_HOTLINES_eth1_rgr"
"15542";"ANA_HOTLINES_eth2";"ANA_HOTLINES_eth2"
"13789";"ANA_PRI";"ANA_PRI"
"13923";"ANA_SEC";"ANA_SEC"
"17306";"ANA-21";"ANA-21"
"17311";"ANA-25";"ANA-25"
"17308";"ANA-2L7PA1";"ANA-2L7PA1"
"17309";"ANA-2L7PP1";"ANA-2L7PP1"
"17310";"ANA-2PBPA1";"ANA-2PBPA1"
"17312";"ANA-2PBPP1";"ANA-2PBPP1"
"17316";"ANA-2R3PCA1";"ANA-2R3PCA1"
"17317";"ANA-2R3PCP1";"ANA-2R3PCP1"
"17313";"ANA-2SACP1";"ANA-2SACP1"
"17320";"ANA-50_51H";"ANA-50_51H"
"17321";"ANA-50_51M";"ANA-50_51M"
"17304";"ANA-67";"ANA-67"
"17307";"ANA-67_";"ANA-67_"
"17305";"ANA-87";"ANA-87"
"17322";"ANA-87_";"ANA-87_"
"17318";"ANA-ATF1PA1";"ANA-ATF1PA1"
"17319";"ANA-ATF1PP1";"ANA-ATF1PP1"
"14540";"ANARDP_230_1";"ANARDP_230_1"
"14541";"ANARDP_230_2";"ANARDP_230_2"
"10544";"ana-rgr-21.254";"ana-rgr-21.254"
"16854";"ana-rgr-vsat-19.32.246";"ana-rgr-vsat-19.32.246"
"16869";"ana-rgr-vsat-LINK-GLOBALSAT";"ana-rgr-vsat-LINK-GLOBALSAT"
"16941";"ana-sw1";"ana-sw1"
"16942";"ana-sw2";"ana-sw2"
"16943";"ana-sw3";"ana-sw3"
"16944";"ana-sw4";"ana-sw4"
"16945";"ana-sw5";"ana-sw5"
"16946";"ana-sw6";"ana-sw6"
"17314";"ANA-TD8";"ANA-TD8"
"17315";"ANA-TD9";"ANA-TD9"
"16758";"ana-tmo";"ana-tmo"
"20025";"ANATW_230_1";"ANATW_230_1"
"14182";"ANA-UCS1";"ANA-UCS1"
"16211";"ANA-UCS1-alta";"ANA-UCS1-alta"
"14183";"ANA-UCS2";"ANA-UCS2"
"16212";"ANA-UCS2-baixa";"ANA-UCS2-baixa"
"10725";"apa-rgr-32.98";"apa-rgr-32.98"
"13771";"APC-CBA-INFR-01";"APC-CBA-INFR-01"
"13773";"APC-DRO-INFR-P01";"APC-DRO-INFR-P01"
"13775";"APC-SED-INFR-11";"APC-SED-INFR-11"
"13777";"APC-SED-INFR-12";"APC-SED-INFR-12"
"13780";"APC-SED-INFR-13";"APC-SED-INFR-13"
"13782";"APC-SED-INFR-14";"APC-SED-INFR-14"
"17325";"AQU-21";"AQU-21"
"17323";"AQU-67";"AQU-67"
"17326";"AQU-67_";"AQU-67_"
"17324";"AQU-87";"AQU-87"
"15692";"ARE_5PMU1";"ARE_5PMU1"
"14387";"ARE_HL1";"ARE_HL1"
"14388";"ARE_HL2";"ARE_HL2"
"13853";"ARE_HOTLINES";"ARE_HOTLINES"
"15543";"ARE_HOTLINES_eth1";"ARE_HOTLINES_eth1"
"15544";"ARE_HOTLINES_eth2";"ARE_HOTLINES_eth2"
"10497";"ARE_PRI1";"ARE_PRI1"
"10498";"ARE_PRI2";"ARE_PRI2"
"10443";"ARE_SEC1";"ARE_SEC1"
"10444";"ARE_SEC2";"ARE_SEC2"
"17341";"ARE-2BPCD1";"ARE-2BPCD1"
"17342";"ARE-2BPCP1";"ARE-2BPCP1"
"17340";"ARE-2BPFD1";"ARE-2BPFD1"
"17351";"ARE-2L1CD1";"ARE-2L1CD1"
"17352";"ARE-2L1CP1";"ARE-2L1CP1"
"17349";"ARE-2L1PA1";"ARE-2L1PA1"
"17350";"ARE-2L1PP1";"ARE-2L1PP1"
"17347";"ARE-2L2CD1";"ARE-2L2CD1"
"17348";"ARE-2L2CP1";"ARE-2L2CP1"
"17346";"ARE-2L2FD1";"ARE-2L2FD1"
"17355";"ARE-2L3CD1";"ARE-2L3CD1"
"17356";"ARE-2L3CP1";"ARE-2L3CP1"
"17353";"ARE-2L3PA1";"ARE-2L3PA1"
"17354";"ARE-2L3PP1";"ARE-2L3PP1"
"17334";"ARE-2L4CD1";"ARE-2L4CD1"
"17335";"ARE-2L4CP1";"ARE-2L4CP1"
"17332";"ARE-2L4PA1";"ARE-2L4PA1"
"17333";"ARE-2L4PP1";"ARE-2L4PP1"
"17343";"ARE-2PBPP1";"ARE-2PBPP1"
"17357";"ARE-2SAPP1";"ARE-2SAPP1"
"17359";"ARE-2T1CD1";"ARE-2T1CD1"
"17360";"ARE-2T1CP1";"ARE-2T1CP1"
"17358";"ARE-2T1FD1";"ARE-2T1FD1"
"17362";"ARE-2T2CD1";"ARE-2T2CD1"
