"OrdemVisual";"Sigla";"HostId";"SelementId";"XAtual";"YAtual";"XDepois";"YDepois";"AlterarPosicao"
"1";"ABT";"19963";"12295";"501";"51";"301";"51";"True"
"2";"ACL";"12201";"12229";"701";"51";"501";"51";"True"
"3";"ANA";"12200";"12230";"901";"51";"701";"51";"True"
"4";"ARE";"12199";"12231";"1101";"51";"901";"51";"True"
"5";"ASS";"16890";"12293";"1301";"51";"1101";"51";"True"
"6";"ATL2";"12198";"12232";"1501";"51";"1301";"51";"True"
"7";"BIG";"12197";"12233";"301";"51";"1501";"51";"True"
"8";"BLU";"12196";"12234";"1701";"51";"1701";"51";"False"
"9";"CAM3";"12195";"12235";"101";"151";"101";"151";"False"
"10";"CAN";"12194";"12236";"301";"151";"301";"151";"False"
"11";"CAX";"12191";"12239";"501";"151";"501";"151";"False"
"12";"CAX5";"12193";"12237";"701";"151";"701";"151";"False"
"13";"CAX6";"12192";"12238";"901";"151";"901";"151";"False"
"14";"CBA";"12190";"12240";"1101";"151";"1101";"151";"False"
"15";"CCH";"12189";"12241";"1301";"151";"1301";"151";"False"
"16";"CGR";"12188";"12242";"1501";"151";"1501";"151";"False"
"17";"CMO";"12187";"12243";"1701";"151";"1701";"151";"False"
"18";"CNG2";"19964";"12296";"101";"251";"101";"251";"False"
"19";"CNO";"12185";"12244";"301";"251";"301";"251";"False"
"20";"CTA";"19965";"12297";"501";"251";"501";"251";"False"
"21";"CVO";"19966";"12298";"701";"251";"701";"251";"False"
"22";"DOU";"12182";"12245";"901";"251";"901";"251";"False"
"23";"DOU_MAR";"12184";"12246";"1101";"251";"1101";"251";"False"
"24";"DOU_RBT";"12183";"12247";"1301";"251";"1301";"251";"False"
"25";"FCO";"12181";"12248";"1701";"251";"1501";"251";"True"
"26";"GAS2-525";"19967";"12299";"101";"351";"1701";"251";"True"
"27";"GRA";"12179";"12250";"301";"351";"101";"351";"True"
"28";"GRA3";"12180";"12249";"501";"351";"301";"351";"True"
"29";"GRT";"12178";"12251";"701";"351";"501";"351";"True"
"30";"GUA";"12177";"12252";"901";"351";"701";"351";"True"
"31";"GUO";"12176";"12253";"1101";"351";"901";"351";"True"
"32";"IJU2";"12175";"12254";"1301";"351";"1101";"351";"True"
"33";"IRN";"12174";"12255";"1501";"351";"1301";"351";"True"
"34";"ITJ";"12173";"12256";"1701";"351";"1501";"351";"True"
"35";"ITR";"16891";"12294";"101";"451";"1701";"351";"True"
"36";"IVP";"12172";"12257";"301";"451";"101";"451";"True"
"37";"JAS";"16834";"12292";"501";"451";"301";"451";"True"
"38";"JLB";"15998";"12291";"701";"451";"501";"451";"True"
"39";"JNO";"12171";"12258";"901";"451";"701";"451";"True"
"40";"JOI";"12170";"12259";"1101";"451";"901";"451";"True"
"41";"JSU";"19968";"12300";"1301";"451";"1101";"451";"True"
"42";"LAR";"12169";"12260";"1501";"451";"1301";"451";"True"
"43";"LGR";"12168";"12261";"1701";"451";"1501";"451";"True"
"44";"LIV3";"19969";"12301";"101";"551";"1701";"451";"True"
"45";"LNS";"12167";"12262";"301";"551";"101";"551";"True"
"46";"LON";"12166";"12263";"701";"551";"301";"551";"True"
"47";"MCH";"12165";"12264";"901";"551";"501";"551";"True"
"48";"MCL";"12164";"12265";"1101";"551";"701";"551";"True"
"49";"MIM";"12163";"12266";"1301";"551";"901";"551";"True"
"50";"MIS";"12162";"12267";"1501";"551";"1101";"551";"True"
"51";"MRO2";"12161";"12268";"1701";"551";"1301";"551";"True"
"52";"NPE2";"12160";"12269";"101";"651";"1501";"551";"True"
"53";"NSR";"12159";"12270";"301";"651";"1701";"551";"True"
"54";"OSO2";"12158";"12271";"501";"651";"101";"651";"True"
"55";"PAL";"12157";"12272";"701";"651";"301";"651";"True"
"56";"PFU";"12155";"12273";"901";"651";"501";"651";"True"
"57";"PGR";"12154";"12274";"1101";"651";"701";"651";"True"
"58";"PIN2";"12153";"12275";"1301";"651";"901";"651";"True"
"59";"PNO";"12202";"12276";"1501";"651";"1101";"651";"True"
"60";"QUI";"19970";"12302";"1701";"651";"1301";"651";"True"
"61";"SDI";"12203";"12277";"101";"751";"1501";"651";"True"
"62";"SID";"19971";"12303";"301";"751";"1701";"651";"True"
"63";"SMA3";"19972";"12304";"501";"751";"101";"751";"True"
"64";"SOS";"12204";"12278";"701";"751";"301";"751";"True"
"65";"SPA2";"12205";"12279";"901";"751";"501";"751";"True"
"66";"SSA";"12206";"12280";"1101";"751";"701";"751";"True"
"67";"STA";"12207";"12281";"1301";"751";"901";"751";"True"
"68";"TPR2";"12208";"12282";"1501";"751";"1101";"751";"True"
"69";"UHBC";"12209";"12283";"1701";"751";"1301";"751";"True"
"70";"UHJB";"12210";"12284";"101";"851";"1501";"751";"True"
"71";"UHPJ";"12211";"12285";"301";"851";"1701";"751";"True"
"72";"UHSD";"12212";"12286";"501";"851";"101";"851";"True"
"73";"VMT";"12213";"12287";"701";"851";"301";"851";"True"
"74";"XAN";"12214";"12288";"901";"851";"501";"851";"True"
"75";"YTA";"12215";"12289";"1101";"851";"701";"851";"True"
