"OrdemFisica";"Sigla";"HostId";"SelementId";"XAntes";"YAntes";"XDepois";"YDepois";"OcupanteAtualDoSlot";"AlterarPosicao"
"1";"ABT";"19963";"12295";"501";"51";"501";"51";"ABT";"False"
"2";"ACL";"12201";"12229";"701";"51";"701";"51";"ACL";"False"
"3";"ANA";"12200";"12230";"901";"51";"901";"51";"ANA";"False"
"4";"ARE";"12199";"12231";"1101";"51";"1101";"51";"ARE";"False"
"5";"ASS";"16890";"12293";"1301";"51";"1301";"51";"ASS";"False"
"6";"ATL2";"12198";"12232";"1501";"51";"1501";"51";"ATL2";"False"
"7";"BIG";"12197";"12233";"1601";"51";"1601";"51";"BIG";"False"
"8";"BLU";"12196";"12234";"1701";"51";"1701";"51";"BLU";"False"
"9";"CAM3";"12195";"12235";"101";"151";"101";"151";"CAM3";"False"
"10";"CAN";"12194";"12236";"301";"151";"301";"151";"CAN";"False"
"11";"CAX";"12191";"12239";"501";"151";"501";"151";"CAX";"False"
"12";"CAX5";"12193";"12237";"701";"151";"701";"151";"CAX5";"False"
"13";"CAX6";"12192";"12238";"901";"151";"901";"151";"CAX6";"False"
"14";"CBA";"12190";"12240";"1101";"151";"1101";"151";"CBA";"False"
"15";"CCH";"12189";"12241";"1301";"151";"1301";"151";"CCH";"False"
"16";"CGR";"12188";"12242";"1501";"151";"1501";"151";"CGR";"False"
"17";"CMO";"12187";"12243";"1701";"151";"1701";"151";"CMO";"False"
"18";"CNG2";"19964";"12296";"101";"251";"101";"251";"CNG2";"False"
"19";"CNO";"12185";"12244";"301";"251";"301";"251";"CNO";"False"
"20";"CTA";"19965";"12297";"501";"251";"501";"251";"CTA";"False"
"21";"CVO";"19966";"12298";"701";"251";"701";"251";"CVO";"False"
"22";"DOU";"12182";"12245";"901";"251";"901";"251";"DOU";"False"
"23";"DOU_MAR";"12184";"12246";"1101";"251";"1101";"251";"DOU_MAR";"False"
"24";"DOU_RBT";"12183";"12247";"1301";"251";"1301";"251";"DOU_RBT";"False"
"25";"FCO";"12181";"12248";"1701";"251";"1701";"251";"FCO";"False"
"26";"GAS2-525";"19967";"12299";"101";"351";"101";"351";"GAS2-525";"False"
"27";"GRA";"12179";"12250";"301";"351";"301";"351";"GRA";"False"
"28";"GRA3";"12180";"12249";"501";"351";"501";"351";"GRA3";"False"
"29";"GRT";"12178";"12251";"701";"351";"701";"351";"GRT";"False"
"30";"GUA";"12177";"12252";"901";"351";"901";"351";"GUA";"False"
"31";"GUO";"12176";"12253";"1101";"351";"1101";"351";"GUO";"False"
"32";"IJU2";"12175";"12254";"1301";"351";"1301";"351";"IJU2";"False"
"33";"IRN";"12174";"12255";"1501";"351";"1501";"351";"IRN";"False"
"34";"ITJ";"12173";"12256";"1701";"351";"1701";"351";"ITJ";"False"
"35";"ITR";"16891";"12294";"101";"451";"101";"451";"ITR";"False"
"36";"IVP";"12172";"12257";"301";"451";"301";"451";"IVP";"False"
"37";"JAS";"16834";"12292";"501";"451";"501";"451";"JAS";"False"
"38";"JLB";"15998";"12291";"701";"451";"701";"451";"JLB";"False"
"39";"JNO";"12171";"12258";"901";"451";"901";"451";"JNO";"False"
"40";"JOI";"12170";"12259";"1101";"451";"1101";"451";"JOI";"False"
"41";"JSU";"19968";"12300";"1301";"451";"1301";"451";"JSU";"False"
"42";"LAR";"12169";"12260";"1501";"451";"1501";"451";"LAR";"False"
"43";"LGR";"12168";"12261";"1701";"451";"1701";"451";"LGR";"False"
"44";"LIV3";"19969";"12301";"101";"551";"101";"551";"LIV3";"False"
"45";"LNS";"12167";"12262";"301";"551";"301";"551";"LNS";"False"
"46";"LON";"12166";"12263";"701";"551";"701";"551";"LON";"False"
"47";"MCH";"12165";"12264";"901";"551";"901";"551";"MCH";"False"
"48";"MCL";"12164";"12265";"1101";"551";"1101";"551";"MCL";"False"
"49";"MIM";"12163";"12266";"1301";"551";"1301";"551";"MIM";"False"
"50";"MIS";"12162";"12267";"1501";"551";"1501";"551";"MIS";"False"
"51";"MRO2";"12161";"12268";"1701";"551";"1701";"551";"MRO2";"False"
"52";"NPE2";"12160";"12269";"101";"651";"101";"651";"NPE2";"False"
"53";"NSR";"12159";"12270";"301";"651";"301";"651";"NSR";"False"
"54";"OSO2";"12158";"12271";"501";"651";"501";"651";"OSO2";"False"
"55";"PAL";"12157";"12272";"701";"651";"701";"651";"PAL";"False"
"56";"PFU";"12155";"12273";"901";"651";"901";"651";"PFU";"False"
"57";"PGR";"12154";"12274";"1101";"651";"1101";"651";"PGR";"False"
"58";"PIN2";"12153";"12275";"1301";"651";"1301";"651";"PIN2";"False"
"59";"PNO";"12202";"12276";"1501";"651";"1501";"651";"PNO";"False"
"60";"QUI";"19970";"12302";"1701";"651";"1701";"651";"QUI";"False"
"61";"SDI";"12203";"12277";"101";"751";"101";"751";"SDI";"False"
"62";"SID";"19971";"12303";"301";"751";"301";"751";"SID";"False"
