"Nome","Hostname","IP","Status","Grupo"
"zs01","zs01","10.0.41.50","Desabilitado",""
"SW3-CNO","SW3-CNO","10.6.64.1","Desabilitado",""
"SW3-SED-CPD01","SW3-SED-CPD01","10.6.1.10","Desabilitado",""
"SED_PRI1","SED_PRI1","172.30.2.1","Desabilitado",""
"SED_PRI2","SED_PRI2","172.30.2.2","Desabilitado",""
"SED_SEC1","SED_SEC1","172.31.2.1","Desabilitado",""
"SED_SEC2","SED_SEC2","172.31.2.2","Desabilitado",""
"SW3-GRT","SW3-GRT","10.6.45.1","Desabilitado",""
"SW3-SPA2-TSLE","SW3-SPA2-TSLE","10.6.46.1","Desabilitado",""
"SW3-CAM3","SW3-CAM3","10.6.47.1","Desabilitado",""
"SW3-CTA","SW3-CTA","10.6.49.1","Desabilitado",""
"SW3-MRO2","SW3-MRO2","10.6.50.1","Desabilitado",""
"SW3-QUI","SW3-QUI","10.6.51.1","Desabilitado",""
"SW3-YTA","SW3-YTA","10.6.52.1","Desabilitado",""
"SW3-PNO","SW3-PNO","10.6.53.1","Desabilitado",""
"SW3-ABT","SW3-ABT","10.6.54.1","Desabilitado",""
"SW3-ITR","SW3-ITR","10.6.55.1","Desabilitado",""
"SW3-SID","SW3-SID","10.6.56.1","Desabilitado",""
"SW3-FHA","SW3-FHA","10.6.57.1","Desabilitado",""
"SW3-UHSD_QTL_1","SW3-UHSD_QTL_1","10.6.58.1","Desabilitado",""
"SW3-IJU2-CLI","SW3-IJU2-CLI","10.6.59.1","Desabilitado",""
"SW3-CRLIV","SW3-CRLIV","10.6.60.1","Desabilitado",""
"SW3-CAN","SW3-CAN","10.6.61.1","Desabilitado",""
"SW3-CMO","SW3-CMO","10.6.62.1","Desabilitado",""
"SW3-BLU","SW3-BLU","10.6.65.1","Desabilitado",""
"SW3-STA","SW3-STA","10.6.66.1","Desabilitado",""
"SW3-SRO","SW3-SRO","10.6.67.1","Desabilitado",""
"SW3-CCH","10.6.68.1","10.6.68.1","Desabilitado",""
"SW3-LIV2","SW3-LIV2","10.6.69.1","Desabilitado",""
"SW3-CAX","SW3-CAX","10.6.70.1","Desabilitado",""
"SW3-ITJ","SW3-ITJ","10.6.71.1","Desabilitado",""
"SW3-GRA","SW3-GRA","10.6.27.1","Desabilitado",""
