"Nome";"IP";"Grupo"
"zs01";"10.0.41.50";"Zabbix servers"
"SW3-CNO";"10.6.64.1";"SW-Extreme"
"SW3-SED-CPD01";"10.6.1.10";"SW-Extreme"
"SED_PRI1";"172.30.2.1";"Discovered hosts"
"SED_PRI2";"172.30.2.2";"Discovered hosts"
"SED_SEC1";"172.31.2.1";"Discovered hosts"
"SED_SEC2";"172.31.2.2";"Discovered hosts"
"SW3-GRT";"10.6.45.1";"SW-Extreme"
"SW3-SPA2-TSLE";"10.6.46.1";"SW-Extreme"
"SW3-CAM3";"10.6.47.1";"SW-Extreme"
"SW3-CTA";"10.6.49.1";"SW-Extreme"
"SW3-MRO2";"10.6.50.1";"SW-Extreme"
"SW3-QUI";"10.6.51.1";"SW-Extreme"
"SW3-YTA";"10.6.52.1";"SW-Extreme"
"SW3-PNO";"10.6.53.1";"SW-Extreme"
"SW3-ABT";"10.6.54.1";"SW-Extreme"
"SW3-ITR";"10.6.55.1";"SW-Extreme"
"SW3-SID";"10.6.56.1";"SW-Extreme"
"SW3-FHA";"10.6.57.1";"SW-Extreme"
"SW3-UHSD_QTL_1";"10.6.58.1";"SW-Extreme"
"SW3-IJU2-CLI";"10.6.59.1";"SW-Extreme"
"SW3-CRLIV";"10.6.60.1";"SW-Extreme"
"SW3-CAN";"10.6.61.1";"SW-Extreme"
"SW3-CMO";"10.6.62.1";"SW-Extreme"
"SW3-BLU";"10.6.65.1";"SW-Extreme"
"SW3-STA";"10.6.66.1";"SW-Extreme"
"SW3-SRO";"10.6.67.1";"SW-Extreme"
"SW3-CCH";"10.6.68.1";"SW-Extreme"
"SW3-LIV2";"10.6.69.1";"SW-Extreme"
"SW3-CAX";"10.6.70.1";"SW-Extreme"
"SW3-ITJ";"10.6.71.1";"SW-Extreme"
"SW3-GRA";"10.6.27.1";"SW-Extreme"
"SW3-TPR2";"10.6.74.1";"SW-Extreme"
"SW3-MIS";"10.6.75.1";"SW-Extreme"
"SW3-SOS";"10.6.76.1";"SW-Extreme"
"SW3-PFU";"10.6.77.1";"SW-Extreme"
"SW3-ALE";"10.6.78.1";"SW-Extreme"
"SW3-LGR";"10.6.80.1";"SW-Extreme"
"SW3-MCH";"10.6.82.1";"SW-Extreme"
"SW3-MCL";"10.6.83.1";"SW-Extreme"
"SW3-GAS2";"10.6.84.1";"SW-Extreme"
"SW3-SER";"10.6.86.1";"SW-Extreme"
"SW3-NSR";"10.6.89.1";"SW-Extreme"
"SW3-ANA";"10.6.91.1";"SW-Extreme"
"SW3-UHPJ";"10.6.92.1";"SW-Extreme"
"SW3-OSO2";"10.6.93.1";"SW-Extreme"
"SW3-ATL2";"10.6.94.1";"SW-Extreme"
"SW3-PME-Esul";"10.6.98.1";"SW-Extreme"
"SW3-NPR2";"10.6.99.1";"SW-Extreme"
"SW3-RRS";"10.6.100.1";"SW-Extreme"
"SW3-SVI";"10.6.101.1";"SW-Extreme"
"SW3-SMA";"10.6.102.1";"SW-Extreme"
"SW3-PLT";"10.6.103.1";"SW-Extreme"
"SW3-PIN2";"10.6.105.1";"SW-Extreme"
"SW3-UTUR";"10.6.106.1";"SW-Extreme"
"SW3-DPO";"10.6.107.1";"SW-Extreme"
"SW3-BGE";"10.6.108.1";"SW-Extreme"
"SW3-PHM";"10.6.109.1";"SW-Extreme"
"SW3-PEL3";"10.6.111.1";"SW-Extreme"
"SW3-PGR";"10.6.114.1";"SW-Extreme"
"SW3-VIN";"10.6.116.1";"SW-Extreme"
"SW3-LNS";"10.6.117.1";"SW-Extreme"
"BIG_PRI1";"172.30.29.1";"Discovered hosts"
"BIG_PRI2";"172.30.29.2";"Discovered hosts"
"BIG_SEC1";"172.31.29.1";"Discovered hosts"
"BIG_SEC2";"172.31.29.2";"Discovered hosts"
"LON_PRI1";"172.30.32.1";"Discovered hosts"
"LON_PRI2";"172.30.32.2";"Discovered hosts"
"LON_SEC1";"172.31.32.1";"Discovered hosts"
"LON_SEC2";"172.31.32.2";"Discovered hosts"
"ARE_SEC1";"172.31.33.1";"Discovered hosts"
"ARE_SEC2";"172.31.33.2";"Discovered hosts"
"SW3-SED-SALACOM";"10.6.1.1";"SW-Extreme"
"SW3-CGR";"10.6.16.1";"SW-Extreme"
"SW3-CBA";"10.6.19.1";"SW-Extreme"
"SW3-IVI2";"10.6.20.1";"SW-Extreme"
"SW3-GAR1";"10.6.22.1";"SW-Extreme"
"SW3-BRU";"10.6.24.1";"SW-Extreme"
"SW3-SCR1";"10.6.25.1";"SW-Extreme"
"SW3-UHBC";"10.6.26.1";"SW-Extreme"
"SW3-GRA3";"10.6.28.1";"SW-Extreme"
"SW3-BIG";"10.6.29.1";"SW-Extreme"
"SW3-JNO";"10.6.31.1";"SW-Extreme"
"SW3-LON";"10.6.32.1";"SW-Extreme"
"SW3-ARE";"10.6.33.1";"SW-Extreme"
"SW3-JOI";"10.6.34.1";"SW-Extreme"
"SW3-XAN";"10.6.35.1";"SW-Extreme"
"SW3-FAR";"10.6.36.1";"SW-Extreme"
"SW3-IVP";"10.6.37.1";"SW-Extreme"
"SW3-FCO";"10.6.39.1";"SW-Extreme"
"SW3-LAR";"10.6.40.1";"SW-Extreme"
"SW3-CAP_JLB";"10.6.41.1";"Discovered hosts"
"SW3-DOU";"10.6.42.1";"SW-Extreme"
"SW3-PAL";"10.6.43.1";"SW-Extreme"
"yta-rgr-59.254";"172.16.78.253";"Discovered hosts"
"SW3-RGR-SED94-18.254";"10.240.18.254";"SW-Extreme"
"SW3-RGR-BIG-19.16.5";"172.19.16.5";"SW-Extreme"
"SW3-RGR-BLU-24.254";"10.240.24.254";"SW-Extreme"
"SW3-RGR-CAX-26.254";"10.240.26.254";"SW-Extreme"
"cba-rgr-255.19";"172.19.255.19";"Industrial"
"SW3-RGR-CMO-31.254";"10.240.31.254";"SW-Extreme"
"SW3-RGR-CNO-32.254";"10.240.32.254";"SW-Extreme"
"SW3-RGR-DRO-34.254";"10.240.34.254";"SW-Extreme"
"SW3-RGR-GRA-38.254";"10.240.38.254";"SW-Extreme"
"SW3-RGR-ITJ-40.254";"10.240.40.254";"SW-Extreme"
"SW3-RGR-IVP-41.254";"10.240.41.254";"SW-Extreme"
"SW3-RGR-JLB-43.254";"10.240.43.254";"SW-Extreme"
"SW3-RGR-JOI-44.254";"10.240.44.254";"SW-Extreme"
"SW3-RGR-LGR-45.254";"10.240.45.254";"SW-Extreme"
"SW3-RGR-LON-46.254";"10.240.46.254";"SW-Extreme"
"ARE_PRI1";"172.30.33.1";"Discovered hosts"
"ARE_PRI2";"172.30.33.2";"Discovered hosts"
"SW3-RGR-NSR-49.254";"10.240.49.254";"SW-Extreme"
"SW3-RGR-PAL-50.254";"10.240.50.254";"SW-Extreme"
"SW3-RGR-PFU-51.254";"10.240.51.254";"SW-Extreme"
"SW3-RGR-SOS-53.254";"10.240.53.254";"SW-Extreme"
"SW3-RGR-OSO2-60.254";"10.240.60.254";"SW-Extreme"
"SW3-RGR-GRA3-62.254";"10.240.62.254";"SW-Extreme"
"SW3-RGR-JNO-67.254";"10.240.67.254";"SW-Extreme"
"SW3-RGR-ASS-68.254";"10.240.68.254";"SW-Extreme"
"SW3-RGR-MIS-70.254";"10.240.70.254";"SW-Extreme"
"SW3-RGR-CCH-75.254";"10.240.75.254";"SW-Extreme"
"SW3-RGR-LIV2-78.254";"10.240.78.254";"SW-Extreme"
"CNO_PRI1";"172.30.64.1";"Discovered hosts"
